2022-06-26,13:00:53,2022-06-26,14:28:45,KB5WCK,EM50,14.080463,FT4,1D,1D,,,,
2022-06-26,14:39:23,2022-06-26,14:39:52,KS4OT,EM83,14.080463,FT4,1D,1E,,,,
2022-06-26,14:54:08,2022-06-26,14:54:30,K9OM,EN65,14.080463,FT4,1D,1E,,,,
2022-06-26,14:54:45,2022-06-26,14:55:15,W7CT,DN41,14.080463,FT4,1D,1D,,,,
2022-06-26,14:55:23,2022-06-26,14:56:00,W2RDX,,14.080463,FT4,1D,2A,,,,
2022-06-26,14:56:08,2022-06-26,14:56:45,W3AO,FM19,14.080463,FT4,1D,11A,,,,
2022-06-26,14:56:53,2022-06-26,14:58:45,W5AQY,EL29,14.080459,FT4,1D,1E,,,,
2022-06-26,14:58:53,2022-06-26,14:59:45,W4IAX,EM50,14.080459,FT4,1D,3A,,,,
2022-06-26,14:59:53,2022-06-26,15:00:15,WT0DX,,14.080459,FT4,1D,1D,,,,
2022-06-26,15:00:23,2022-06-26,15:01:00,K1WV,EM98,14.080459,FT4,1D,1E,,,,
2022-06-26,15:15:08,2022-06-26,15:15:37,W4SBM,EM70,14.080232,FT4,1D,1D,,,,
2022-06-26,15:15:38,2022-06-26,15:29:30,K0KKV,EN10,14.080232,FT4,1D,3A,,,,
2022-06-26,15:41:45,2022-06-26,15:42:16,N3JG,,14.080232,FT4,1D,1D,,,,
2022-06-26,15:43:00,2022-06-26,15:43:30,K7DTB,DM41,14.080232,FT4,1D,1D,,,,
2022-06-26,15:44:00,2022-06-26,15:44:45,WI4R,,14.080232,FT4,1D,1D,,,,
2022-06-26,15:45:09,2022-06-26,15:45:26,WI4R,,14.080232,FT4,,1D,100,,,
2022-06-26,15:46:00,2022-06-26,15:47:30,W3SO,FN00,14.080208,FT4,1D,5D,100,,,
2022-06-26,15:47:38,2022-06-26,15:49:30,N3WD,FM19,14.080208,FT4,1D,1B,100,,,
2022-06-26,15:49:38,2022-06-26,15:50:00,W5TRL,EM10,14.080208,FT4,1D,2E,100,,,
2022-06-26,15:50:00,2022-06-26,15:51:00,N4N,,14.080208,FT4,1D,3A,100,,,
2022-06-26,16:27:08,2022-06-26,16:27:30,N5ZR,EL09,14.080372,FT4,1D,1A,100,,,
2022-06-26,16:27:30,2022-06-26,16:28:15,W7DK,CN87,14.080372,FT4,1D,5A,100,,,
2022-06-26,16:30:45,2022-06-26,16:32:15,K4EGA,EM83,14.080238,FT4,1D,1E,100,,,
2022-06-26,17:36:23,2022-06-26,17:37:07,N7WAH,CN86,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:37:38,2022-06-26,17:38:07,N5TT,EM10,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:38:08,2022-06-26,17:38:37,N4KHI,EL99,14.080223,FT4,1D,1E,100,,,
2022-06-26,17:39:01,2022-06-26,17:39:52,N5TT,,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:40:15,2022-06-26,17:44:07,NU2DE,FN22,14.080223,FT4,1D,2B,100,,,
2022-06-26,17:44:45,2022-06-26,17:45:22,N4GXX,EM60,14.080223,FT4,1D,1D,100,,,
2022-06-26,17:54:08,2022-06-26,17:54:52,K8SIX,EN82,14.080223,FT4,1D,1D,100,,,
2022-06-26,17:54:53,2022-06-26,17:57:07,N4IV,FM06,14.080223,FT4,1D,2A,100,,,
2022-06-26,17:58:53,2022-06-26,18:18:52,AE5FM,EM13,14.080205,FT4,1D,1D,100,,,
2022-06-26,18:20:53,2022-06-26,18:23:37,K4YDE,EM90,14.080205,FT4,1D,1D,100,,,
2022-09-19,03:30:01,2022-09-19,03:30:01,ZM1A,RF72,14.078700,FT4,,,100,,,
2022-09-19,22:34:30,2022-09-19,22:36:30,W9MDB,,50.211720,Q65,-04,-04,100,,,
2022-09-21,16:45:30,2022-09-21,16:45:30,W9MDB,EM49,14.090720,FT8,+16,+00,100,,,
2022-12-04,19:15:23,2022-12-04,19:17:22,N4DLT,EM95,14.080408,FT4,559,569,100,,,
2022-12-04,19:17:53,2022-12-04,19:18:54,K8BL,,14.080408,FT4,569,569,100,,,
2022-12-04,19:19:00,2022-12-04,19:19:08,K8BL,,14.080408,FT4,539,569,100,,,
2022-12-04,19:20:15,2022-12-04,19:21:37,W1OP,,14.080408,FT4,589,589,100,,,
2022-12-04,19:21:45,2022-12-04,19:22:07,W1OP,,14.080408,FT4,569,589,100,,,
2022-12-04,19:22:45,2022-12-04,19:23:37,WB0N,EN34,14.080408,FT4,579,599,100,,,
2022-12-04,19:23:45,2022-12-04,19:24:07,AA4DD,EM86,14.080408,FT4,589,579,100,,,
2022-12-04,19:24:15,2022-12-04,19:24:52,K3WHD,FN13,14.080408,FT4,539,549,100,,,
2022-12-04,19:25:53,2022-12-04,19:26:30,NP4TX,,14.080408,FT4,549,569,100,,,
2022-12-04,19:26:45,2022-12-04,19:27:00,KC1RET,,14.080408,FT4,549,559,100,,,
2022-12-04,19:27:31,2022-12-04,19:27:31,KC1RET,,14.080408,FT4,539,559,100,,,
2022-12-04,19:28:53,2022-12-04,21:17:45,N0TA,DN70,14.080320,FT4,539,569,100,,,
2022-12-04,21:17:45,2022-12-04,21:18:15,KS4S,FM04,14.080320,FT4,559,579,100,,,
2022-12-04,21:18:15,2022-12-04,21:18:45,NA3M,FM19,14.080320,FT4,549,559,100,,,
2022-12-04,21:19:30,2022-12-04,21:19:30,KE0PX,DM67,14.080320,FT4,549,539,100,,,
2022-12-04,21:19:38,2022-12-04,21:20:30,4U1WB,FM18,14.080320,FT4,579,569,100,,,
2022-12-04,21:20:31,2022-12-04,21:21:00,NV4G,,14.080320,FT4,579,569,100,,,
2022-12-04,21:21:00,2022-12-04,21:21:30,KI5RCS,EM10,14.080320,FT4,549,589,100,,,
2022-12-04,21:21:38,2022-12-04,21:22:46,N2JJ,,14.080320,FT4,539,559,100,,,
2022-12-04,21:23:01,2022-12-04,21:23:01,N2JJ,,14.080320,FT4,539,559,100,,,
2022-12-04,21:23:53,2022-12-04,21:37:30,AF5CC,,14.080320,FT4,569,599,100,,,
2022-12-04,21:37:45,2022-12-04,21:38:52,N2XW,FM29,14.080320,FT4,539,549,100,,,
2022-12-04,21:39:00,2022-12-04,21:39:22,HI5YJM,FK58,14.080320,FT4,569,569,100,,,
2022-12-04,21:39:30,2022-12-04,21:40:22,AB2ZY,,14.080320,FT4,539,559,100,,,
2022-12-04,21:41:00,2022-12-04,21:43:00,HR5/F2JD,,18.104320,FT4,-11,+16,100,,,
2022-12-04,22:23:53,2022-12-04,22:24:30,WA2BOT,FN32,14.080320,FT4,549,599,100,,,
2022-12-04,22:24:30,2022-12-04,22:26:00,N3PKC,FN21,14.080320,FT4,549,559,100,,,
2022-12-04,22:26:08,2022-12-04,22:27:00,KJ7KOJ,,14.080320,FT4,559,579,100,,,
2022-12-04,22:27:30,2022-12-04,22:28:00,WA1HXH,FN43,14.080320,FT4,569,589,100,,,
2022-12-04,22:28:08,2022-12-04,22:29:30,N9KW,,14.080320,FT4,539,579,100,,,
2022-12-04,22:29:45,2022-12-04,22:32:30,NF3R,FN20,14.080320,FT4,539,549,100,,,
2022-12-04,22:32:45,2022-12-04,22:33:30,W3US,EL98,14.080320,FT4,559,569,100,,,
2022-12-04,22:34:23,2022-12-04,22:34:37,W7CT,DN41,14.080320,FT4,579,569,100,,,
2022-12-04,22:34:45,2022-12-04,22:35:07,WB5NOE,DN40,14.080320,FT4,569,559,100,,,
2022-12-04,22:35:23,2022-12-04,22:35:37,N5JGE,,14.080320,FT4,569,569,100,,,
2022-12-04,22:35:53,2022-12-04,22:36:22,N7CMJ,DN28,14.080320,FT4,539,569,100,,,
2022-12-04,22:36:38,2022-12-04,22:39:07,AA1NK,,14.080320,FT4,559,579,100,,,
2022-12-04,22:39:53,2022-12-04,22:42:45,K9OM,,14.080320,FT4,559,579,100,,,
2022-12-04,22:42:53,2022-12-04,22:43:31,K7EAZ,,14.080320,FT4,549,549,100,,,
2022-12-04,22:44:00,2022-12-04,22:44:45,WA3LXD,,14.080320,FT4,569,549,100,,,
2022-12-04,22:46:38,2022-12-04,22:47:00,VA6BGE,DO20,14.080320,FT4,559,559,100,,,
2022-12-04,22:49:01,2022-12-04,22:49:30,W6IA,,14.080320,FT4,549,569,100,,,
2022-12-04,22:49:38,2022-12-04,22:50:00,WT0DX,,14.080320,FT4,569,569,100,,,
2022-12-04,22:51:46,2022-12-04,22:52:30,W1LEM,,14.080320,FT4,549,569,100,,,
2022-12-04,22:53:01,2022-12-04,22:53:30,AD7L,,14.080320,FT4,549,579,100,,,
2022-12-04,22:55:46,2022-12-04,22:56:15,N7GHZ,,14.080320,FT4,539,569,100,,,
2023-06-03,21:06:34,2023-06-03,21:06:34,K1JT,EM49,21.003052,FT8,,,100,,,
2023-06-03,21:42:55,2023-06-03,21:42:55,WA1SXK,EM95,21.076052,FT8,,,100,,,
2023-06-21,16:44:32,2023-06-21,16:44:51,WA1SXK,EM95,10.000552,FT8,-01,-01,100,,,
2023-06-21,16:45:31,2023-06-21,16:45:31,WA1SXK,EM95,10.000552,FT8,-01,-01,100,,,
2023-08-25,13:44:53,2023-08-25,13:45:15,WA1SXK,EM95,14.081810,FT4,-16,-01,100,,,
2023-08-25,13:47:08,2023-08-25,13:47:30,WA1SXK,EM95,14.081810,FT4,-15,-02,100,,,
2023-09-28,03:29:30,2023-09-28,03:30:30,W6DQ,,14.074765,FT8,+03,-07,20,,,,,
2023-09-28,03:29:00,2023-09-28,03:30:00,KK7LBC,DN13,14.074765,FT8,,,20,,,,,
2023-09-28,03:36:15,2023-09-28,03:37:15,N6PE,DM13,14.074765,FT8,+14,+00,20,,,,,
2023-09-28,03:37:45,2023-09-28,03:38:45,KA6VKP,DM03,14.074765,FT8,-10,-09,20,,,,,
2023-09-28,03:40:15,2023-09-28,03:41:15,AC7VF,DN17,14.074765,FT8,+14,-02,20,,,,,
2023-09-28,03:47:30,2023-09-28,03:48:30,VE6EK,DO30,14.074765,FT8,-03,-16,20,,,,,
2023-10-11,15:57:00,2023-10-11,15:58:00,AI0Y,EN08,14.075968,FT8,+16,+08,20,,,,,,
2023-10-11,15:59:00,2023-10-11,16:00:00,AI5OS,EM10,14.075968,FT8,-04,-09,20,,,,,,
2023-10-11,16:16:30,2023-10-11,16:17:30,NX0R,EM08,14.075968,FT8,+04,-03,20,,,,,,
2023-10-12,03:05:45,2023-10-12,03:06:45,KC2NJ,,14.075968,FT8,+10,-04,20,,,,,,
2023-10-12,03:57:45,2023-10-12,03:58:45,W6AGZ,CN85,14.075968,FT8,-07,-18,20,,,,,,
2023-10-12,04:00:45,2023-10-12,04:01:45,7Q7EMH,KH67,14.075968,FT8,-17,-16,20,,,,,,
2023-10-12,22:27:53,2023-10-12,22:28:22,OZ18CHR,,14.080745,FT4,-04,-02,20,,,,,,
2023-10-12,22:28:53,2023-10-12,22:29:22,KB9DED,EN54,14.080745,FT4,+15,-02,20,,,,,,
2023-10-12,22:30:53,2023-10-12,22:31:22,NY1U,FN41,14.080745,FT4,+03,-05,20,,,,,,
2023-10-12,22:38:23,2023-10-12,22:39:07,VA3VTE,FN03,14.080745,FT4,-12,-11,20,,,,,,
2023-10-12,22:46:46,2023-10-12,22:47:15,W8MDE,EN80,14.080745,FT4,+08,+01,80,,,,,,
2023-10-13,12:05:45,2023-10-13,12:06:45,TX6D,,14.074920,FT8,-03,+00,80,,,,,,
2023-10-13,14:10:15,2023-10-13,14:11:15,VE2KTF,FN35,14.074419,FT8,-16,-10,80,,,,,,
2023-10-13,14:11:15,2023-10-13,14:12:15,W7MY,DN06,14.074419,FT8,+06,-11,80,,,,,,
2023-10-13,14:13:15,2023-10-13,14:14:15,K1SM,FN42,14.074419,FT8,+12,-12,80,,,,,,
2023-10-13,14:14:15,2023-10-13,14:15:15,K5VGS,EL17,14.074419,FT8,-04,-05,80,,,,,,
2023-10-13,14:15:45,2023-10-13,14:16:45,KQ4IKT,EM87,14.074419,FT8,-03,-14,80,,,,,,
2023-10-13,14:57:15,2023-10-13,14:58:15,AC1BI,FN42,14.074268,FT8,-05,+07,80,,,,,,
2023-10-13,15:00:15,2023-10-13,15:01:15,W5DTB,DM82,14.074268,FT8,-15,+00,80,,,,,,
2023-10-13,15:03:45,2023-10-13,15:04:45,N8XI,EN82,14.074268,FT8,+12,+18,80,,,,,,
2023-10-13,15:06:45,2023-10-13,15:08:15,W7PAU,CN84,14.074268,FT8,-05,+15,80,,,,,,
2023-10-13,15:34:30,2023-10-13,15:36:00,K5PLH,EM32,14.074891,FT8,+10,-12,80,,,,,,
2023-10-13,15:36:00,2023-10-13,15:37:00,KY4SGM,EM77,14.074891,FT8,+19,+16,80,,,,,,
2023-10-13,15:37:30,2023-10-13,15:38:30,KC8YJJ,EN90,14.074891,FT8,-13,-08,80,,,,,,
2023-10-13,15:39:00,2023-10-13,15:40:00,KI4MNR,EM82,14.074891,FT8,+03,-06,80,,,,,,
2023-10-13,16:09:45,2023-10-13,16:13:45,DA2KC/VE6,,14.074942,FT8,-05,-19,80,,,,,,
2023-10-15,03:11:00,2023-10-15,03:12:30,AE6CC,CM97,14.076103,FT8,-17,-18,80,,,,,,
2023-10-16,03:10:45,2023-10-16,03:11:41,6W/IV3FSG,,14.076103,FT8,-17,-06,80,,,,,,
2023-10-19,13:36:00,2023-10-19,13:37:00,KE8YP,EM99,14.074279,FT8,-18,-10,80,,,,,,
2023-12-02,04:18:00,2023-12-02,04:19:10,WA1SXK,,5.357350,FT8,,,,,,,,,
2023-12-02,04:18:30,2023-12-02,04:19:43,WA1SXK,,5.357350,FT8,,,,,,,,,
2023-12-02,04:18:30,2023-12-02,04:19:44,WA1SXK,,5.357350,FT8,,,,,,,,,
2024-02-16,04:14:27,2024-02-16,04:14:27,K0DDD,EM48,14.074460,FT8,-01,-01,,VE-6003,,
2024-02-16,04:16:29,2024-02-16,04:16:29,EA1DNT,FN03,14.074460,FT4,-11,+00,5,,,
2024-02-16,04:18:42,2024-02-16,04:18:42,EA1DNT,IN71,14.080460,FT4,-01,+00,5,VE-6003,,
2024-02-16,04:25:29,2024-02-16,04:25:29,EA1DNT,IN71,14.080460,FT4,-01,+01,5,VE-6003,,
